Title,Year,Budget,Domestic Revenue,International Revenue,Worldwide Revenue,MPAA Rating,Run Time,Genre,Metacritic Mixed Reviews,Metacritic Negative Reviews,Metacritic Positive Reviews,Metascore,Users Mixed Reviews,Users Negative Reviews,Users Positive Reviews,Userscore
Let Me In,2010,20000000,12134935,14958657,27093592,R,1 hr 56 min,Drama,3.0,0.0,32.0,79.0,39,16,410,8.5
Mission: Impossible - Ghost Protocol,2011,145000000,209397903,485315477,694713380,PG-13,2 hr 12 min,Action,9.0,0.0,38.0,73.0,102,34,775,7.9
Anchorman 2: The Legend Continues,2013,50000000,127352707,46297224,173649931,PG-13,1 hr 59 min,Comedy,13.0,2.0,25.0,61.0,107,82,239,6.3
Not Fade Away,2012,20000000,610792,25607,636399,R,1 hr 52 min,Drama,9.0,1.0,17.0,65.0,6,3,8,6.4
It's Complicated,2009,85000000,112735375,106368280,219103655,R,2 hr,Comedy,12.0,1.0,17.0,57.0,34,41,63,5.4
Alvin and the Chipmunks: The Squeakquel,2009,75000000,219614612,223525393,443140005,PG,1 hr 28 min,Animation,13.0,4.0,3.0,41.0,42,57,30,4.3
Due Date,2010,65000000,100539043,111241781,211780824,R,1 hr 35 min,Comedy,20.0,4.0,15.0,51.0,112,26,157,6.5
Hot Tub Time Machine,2010,36000000,50287556,14492657,64780213,R,1 hr 41 min,Comedy,13.0,1.0,22.0,63.0,78,40,157,6.5
That's My Boy,2012,70000000,36931089,20788004,57719093,R,1 hr 56 min,Comedy,10.0,14.0,3.0,31.0,49,94,87,4.9
Capitalism: A Love Story,2009,20000000,14363397,3073112,17436509,R,2 hr 7 min,Crime,9.0,3.0,24.0,61.0,13,45,124,6.7
Fish Tank,2009,3000000,374675,2029625,2404300,,2 hr 3 min,Drama,3.0,0.0,28.0,81.0,16,3,48,7.4
Sorority Row,2009,12500000,11965282,15240838,27206120,R,1 hr 41 min,Horror,5.0,6.0,0.0,24.0,23,23,205,8.6
21 Jump Street,2012,42000000,138447667,63137661,201585328,R,1 hr 49 min,Action,9.0,0.0,32.0,69.0,124,38,832,8
Brighton Rock,2010,12000000,229653,2683946,2913599,R,1 hr 51 min,Crime,13.0,1.0,10.0,57.0,2,3,5,5.8
Saw VI,2009,11000000,27693292,40540862,68234154,R,1 hr 30 min,Horror,6.0,5.0,1.0,30.0,77,45,127,6.4
The Men Who Stare at Goats,2009,25000000,32428195,36667576,69095771,R,1 hr 34 min,Comedy,11.0,4.0,18.0,54.0,55,36,94,6.4
Red Dawn,2012,65000000,44806783,6143513,50950296,PG-13,1 hr 33 min,Action,14.0,18.0,1.0,31.0,48,82,54,4.4
RoboCop,2014,100000000,58607007,184081958,242688965,PG-13,1 hr 57 min,Action,3.0,0.0,13.0,67.0,22,6,336,8.8
A Prophet,2009,13000000,2087720,15786324,17874044,R,2 hr 35 min,Crime,0.0,0.0,31.0,90.0,13,4,188,8.6
The Future,2011,1000000,568662,318510,887172,R,1 hr 31 min,Drama,8.0,1.0,19.0,67.0,12,7,12,5.7
Wild Target,2010,8000000,108589,3385565,3494154,PG-13,1 hr 38 min,Action,8.0,3.0,2.0,41.0,2,3,35,7.9
Broken City,2013,35000000,19701164,15036035,34737199,R,1 hr 49 min,Action,24.0,4.0,10.0,49.0,53,17,30,5.4
Ondine,2009,12000000,550472,1236941,1787413,PG-13,1 hr 51 min,Drama,7.0,0.0,14.0,65.0,6,1,15,6.8
Your Highness,2011,49900000,21596445,6417288,28013733,R,1 hr 42 min,Comedy,14.0,17.0,2.0,31.0,55,60,54,4.8
I Spit on Your Grave,2010,2000000,93051,1185599,1278650,R,1 hr 48 min,Horror,4.0,9.0,1.0,27.0,31,19,52,6.1
The Tourist,2010,100000000,67631157,211149284,278780441,PG-13,1 hr 43 min,Action,22.0,11.0,4.0,37.0,102,59,135,6.3
Aloha,2015,37000000,21067116,5182904,26250020,PG-13,1 hr 45 min,Comedy,21.0,12.0,3.0,40.0,39,58,32,4.3
Extraordinary Measures,2010,31000000,12068313,3065980,15134293,PG,1 hr 46 min,Drama,24.0,3.0,6.0,45.0,13,4,19,6.6
This Is the End,2013,32000000,101470202,24571120,126041322,R,1 hr 47 min,Comedy,13.0,1.0,27.0,67.0,131,98,552,7.1
RED,2010,58000000,90380162,108626225,199006387,PG-13,1 hr 51 min,Action,13.0,1.0,24.0,60.0,70,27,248,6.9
Kick-Ass,2010,30000000,48071303,48117600,96188903,R,1 hr 57 min,Action,7.0,4.0,27.0,66.0,84,52,"1,031",8.5
Salvation Boulevard,2011,5500000,28468,60714,89182,R,1 hr 36 min,Action,,,,,,,,
300: Rise of an Empire,2014,110000000,106580051,231000000,337580051,R,1 hr 42 min,Action,13.0,9.0,12.0,48.0,195,112,297,6
Immortals,2011,75000000,83504017,143400000,226904017,R,1 hr 50 min,Action,11.0,6.0,6.0,46.0,132,52,111,5.8
Holmes & Watson,2018,42000000,30573626,9893344,40466970,PG-13,1 hr 30 min,Comedy,9.0,14.0,0.0,24.0,13,60,14,2.7
Incendies,2010,6800000,2071334,5028264,7099598,R,2 hr 11 min,Drama,6.0,0.0,36.0,80.0,12,5,130,8.2
The Man with the Iron Fists,2012,15000000,15634090,4912428,20546518,R,1 hr 35 min,Action,8.0,4.0,7.0,51.0,51,26,48,5.7
The Twilight Saga: New Moon,2009,50000000,297816253,413203828,711020081,PG-13,2 hr 10 min,Drama,16.0,7.0,9.0,44.0,122,326,187,4.1
Sex and the City 2,2010,100000000,95347692,195397363,290745055,R,2 hr 26 min,Comedy,15.0,19.0,5.0,27.0,27,94,54,4.1
Scream 4,2011,40000000,38180928,59050492,97231420,R,1 hr 51 min,Horror,17.0,3.0,12.0,52.0,116,69,245,6.4
Crazy Heart,2009,7000000,39464306,7941260,47405566,R,1 hr 52 min,Drama,1.0,0.0,31.0,83.0,36,11,140,7.5
