Title,Year,Budget,Domestic Revenue,International Revenue,Worldwide Revenue,MPAA Rating,Run Time,Genre,Metacritic Mixed Reviews,Metacritic Negative Reviews,Metacritic Positive Reviews,Metascore,Users Mixed Reviews,Users Negative Reviews,Users Positive Reviews,Userscore
Glitter,2001,22000000,4274407,997259,5271666,PG-13,1 hr 44 min,Drama,3.0,20.0,0.0,14.0,9,59,31,3.6
Chicken Run,2000,45000000,106834564,118000000,224834564,,1 hr 24 min,Adventure,1.0,0.0,33.0,88.0,36,9,258,8.2
Fantastic Four,2005,100000000,154696080,178839854,333535934,PG-13,1 hr 46 min,Action,18.0,11.0,6.0,40.0,161,177,305,5.7
Frida,2002,12000000,25885000,30413474,56298474,R,2 hr 3 min,Biography,17.0,1.0,20.0,61.0,4,2,34,7.4
From Hell,2001,35000000,31602566,42955549,74558115,R,2 hr 2 min,Horror,10.0,7.0,15.0,54.0,23,37,54,5.2
The Lord of the Rings: The Fellowship of the Ring,2001,93000000,315544750,572288076,887832826,PG-13,2 hr 58 min,Action,1.0,0.0,33.0,92.0,50,59,"1,816",9.1
Mission: Impossible II,2000,125000000,215409889,330978219,546388108,PG-13,2 hr 3 min,Action,14.0,3.0,23.0,59.0,159,33,361,7.8
Resident Evil,2002,33000000,40119709,62865153,102984862,R,1 hr 40 min,Action,11.0,11.0,2.0,33.0,93,46,218,6.8
The Shipping News,2001,38000000,11434216,13256225,24690441,R,1 hr 51 min,Drama,18.0,3.0,10.0,47.0,8,0,9,7.2
X-Men,2000,75000000,157299718,139039810,296339528,PG-13,1 hr 44 min,Action,7.0,3.0,23.0,64.0,97,13,521,7.8
Men in Black II,2002,140000000,193735288,251400000,445135288,PG-13,1 hr 28 min,Action,21.0,5.0,11.0,49.0,130,25,109,6.4
Titan A.E.,2000,75000000,22753426,14001208,36754634,PG,1 hr 34 min,Action,15.0,5.0,10.0,48.0,13,6,114,8.6
The Emperor's New Groove,2000,100000000,89302687,80025000,169327687,,1 hr 18 min,Adventure,5.0,0.0,23.0,70.0,15,4,169,8.6
Star Wars: Episode II - Attack of the Clones,2002,115000000,310676740,343103230,653779970,PG,2 hr 22 min,Action,18.0,5.0,16.0,54.0,464,231,591,6
Star Wars: Episode III - Revenge of the Sith,2005,113000000,380270577,488119983,868390560,PG-13,2 hr 20 min,Action,11.0,1.0,28.0,68.0,265,150,"1,434",7.7
Return to Me,2000,24000000,32722798,3887197,36609995,PG,1 hr 55 min,Comedy,14.0,2.0,17.0,54.0,2,0,12,8.5
Heartbreakers,2001,35000000,40336607,17419801,57756408,PG-13,2 hr 3 min,Comedy,17.0,6.0,9.0,47.0,13,3,89,8.7
Shrek,2001,60000000,267665011,216744207,484409218,PG,1 hr 30 min,Adventure,3.0,0.0,31.0,84.0,32,15,767,8.8
Dinosaur,2000,127500000,137748063,212074702,349822765,PG,1 hr 22 min,Adventure,12.0,5.0,15.0,56.0,27,2,45,7.4
The Adventures of Rocky & Bullwinkle,2000,76000000,26005820,9129000,35134820,PG,1 hr 32 min,Adventure,8.0,13.0,9.0,36.0,11,5,10,5.7
Driven,2001,94000000,32720065,22024673,54744738,PG-13,1 hr 56 min,Action,5.0,0.0,3.0,58.0,1,0,2,tbd
Planet of the Apes,2001,100000000,180011740,182200000,362211740,PG-13,1 hr 59 min,Action,2.0,1.0,11.0,79.0,2,0,52,8.7
Treasure Planet,2002,140000000,38176783,71864580,110041363,PG,1 hr 35 min,Adventure,7.0,3.0,20.0,60.0,9,8,148,8.3
Scream 3,2000,40000000,89143175,72691101,161834276,R,1 hr 56 min,Horror,10.0,7.0,15.0,56.0,73,24,397,8.6
Duets,2000,21000000,4739023,1881219,6620242,R,1 hr 52 min,Comedy,14.0,11.0,4.0,40.0,3,1,15,8.3
Pitch Black,2000,23000000,39240659,13947000,53187659,R,1 hr 49 min,Horror,12.0,6.0,11.0,49.0,24,6,251,8.6
Supernova,2000,90000000,14230455,597626,14828081,PG-13,1 hr 30 min,Horror,1.0,17.0,1.0,19.0,11,9,10,5.3
The Road to El Dorado,2000,95000000,50863742,25568985,76432727,PG,1 hr 29 min,Adventure,18.0,2.0,9.0,51.0,17,10,69,7.2
The Yards,2000,24000000,889352,34684,924036,R,1 hr 55 min,Crime,10.0,2.0,19.0,58.0,2,1,26,8.6
Isn't She Great,2000,44000000,2962465,40831,3003296,R,1 hr 35 min,Biography,9.0,16.0,9.0,34.0,1,1,0,tbd
Town & Country,2001,90000000,6719973,3652318,10372291,R,1 hr 44 min,Comedy,,,,,,,,
U-571,2000,62000000,77122415,50544000,127666415,PG-13,1 hr 56 min,Action,11.0,2.0,22.0,62.0,10,6,28,6.7
American Psycho,2000,7000000,15070285,19196279,34266564,R,1 hr 41 min,Comedy,8.0,5.0,22.0,64.0,65,9,698,8.7
Nutty Professor II: The Klumps,2000,84000000,123309890,43030000,166339890,PG-13,1 hr 46 min,Comedy,12.0,14.0,8.0,38.0,12,7,12,6
Highlander: Endgame,2000,25000000,12811858,3031750,15843608,R,1 hr 27 min,Action,3.0,12.0,1.0,21.0,6,8,13,5.9
Spider-Man,2002,139000000,407022860,418002176,825025036,PG-13,2 hr 1 min,Action,6.0,0.0,32.0,73.0,81,30,"1,051",8.5
Thirteen Days,2000,80000000,34592089,31987801,66579890,PG-13,2 hr 25 min,Drama,6.0,2.0,23.0,67.0,5,1,21,7.6
Lara Croft: Tomb Raider,2001,115000000,131168070,143535270,274703340,PG-13,1 hr 40 min,Action,14.0,13.0,4.0,33.0,74,53,93,5.9
High Fidelity,2000,30000000,27287137,19839158,47126295,R,1 hr 53 min,Comedy,4.0,0.0,31.0,79.0,7,7,136,8.6
The Legend of Bagger Vance,2000,80000000,30919168,8540259,39459427,PG-13,2 hr 6 min,Drama,20.0,5.0,10.0,47.0,5,2,55,8.8
Where the Money Is,2000,28000000,5661798,1788616,7450414,PG-13,1 hr 29 min,Comedy,,,,,,,,
All the Pretty Horses,2000,57000000,15540353,2593142,18133495,PG-13,1 hr 56 min,Drama,13.0,3.0,13.0,55.0,3,2,9,6.9
Screwed,2000,10000000,7027345,174356,7201701,PG-13,1 hr 21 min,Comedy,,,,,,,,
My Dog Skip,2000,6000000,34134641,1413120,35547761,PG,1 hr 35 min,Comedy,11.0,0.0,15.0,61.0,3,2,17,7.9
The Next Best Thing,2000,25000000,14990582,9372190,24362772,PG-13,1 hr 48 min,Comedy,7.0,21.0,3.0,25.0,5,8,17,6.7
Clockstoppers,2002,26000000,36989956,1803327,38793283,PG,1 hr 34 min,Action,16.0,5.0,3.0,40.0,4,4,11,6.4
The Flintstones in Viva Rock Vegas,2000,83000000,35268275,24200000,59468275,PG,1 hr 30 min,Comedy,7.0,16.0,3.0,27.0,5,11,7,4.3
Behind Enemy Lines,2001,40000000,58856790,32896412,91753202,PG-13,1 hr 46 min,Action,14.0,5.0,10.0,49.0,14,12,33,6.2
Cold Mountain,2003,79000000,95636509,77377000,173013509,R,2 hr 34 min,Adventure,6.0,1.0,34.0,73.0,20,51,89,5.6
The Art of War,2000,60000000,30208599,10191826,40400425,R,1 hr 57 min,Action,,,,,,,,
Charlie's Angels,2000,93000000,125305545,138800000,264105545,PG-13,1 hr 38 min,Action,14.0,5.0,15.0,52.0,43,16,264,8.7
Eye See You,2002,55000000,79161,6553222,6632383,R,1 hr 36 min,Crime,,,,,,,,
Impostor,2001,30000000,6285176,2409144,8694320,PG-13,1 hr 35 min,Drama,8.0,13.0,5.0,33.0,4,2,9,6.5
Lost Souls,2000,50000000,16815253,14540657,31355910,R,1 hr 37 min,Drama,3.0,25.0,1.0,16.0,1,65,7,1.1
Rules of Engagement,2000,60000000,61335230,10397073,71732303,R,2 hr 8 min,Drama,,,,,,,,
What Lies Beneath,2000,100000000,155464351,135956000,291420351,PG-13,2 hr 10 min,Drama,16.0,4.0,15.0,51.0,20,3,37,7
What's the Worst That Could Happen?,2001,60000000,32269834,6194297,38464131,PG-13,1 hr 34 min,Comedy,14.0,10.0,4.0,37.0,4,1,3,6.3
Cast Away,2000,90000000,233632142,196000000,429632142,PG-13,2 hr 23 min,Adventure,4.0,1.0,27.0,73.0,38,57,249,6.8
Ghost World,2001,7000000,6217849,2546158,8764007,R,1 hr 51 min,Comedy,0.0,0.0,31.0,88.0,11,7,145,8.3
Shaft,2000,46000000,70334258,37291867,107626125,R,1 hr 39 min,Action,14.0,5.0,14.0,50.0,20,2,43,7.9
Hanging Up,2000,60000000,36050230,15829814,51880044,PG-13,1 hr 34 min,Comedy,11.0,13.0,6.0,33.0,7,1,7,6.5
Jurassic Park III,2001,93000000,181171875,187608934,368780809,PG-13,1 hr 32 min,Action,16.0,7.0,7.0,42.0,165,61,211,6.4
The Beach,2000,50000000,39785027,104271846,144056873,R,1 hr 59 min,Adventure,21.0,6.0,7.0,43.0,30,11,138,8.1
Bless the Child,2000,65000000,29381494,11061516,40443010,R,1 hr 47 min,Crime,5.0,20.0,2.0,17.0,9,121,8,1.1
Hollow Man,2000,95000000,73209340,117004115,190213455,R,1 hr 52 min,Action,10.0,23.0,2.0,24.0,35,154,36,2.4
The Sum of All Fears,2002,68000000,118907036,75014336,193921372,PG-13,2 hr 4 min,Action,14.0,8.0,13.0,45.0,25,4,15,5.8
Under Suspicion,2000,25000000,260562,1047680,1308242,R,1 hr 50 min,Crime,7.0,4.0,3.0,43.0,9,12,5,3.6
Along Came a Spider,2001,60000000,74078174,31100387,105178561,R,1 hr 44 min,Drama,18.0,6.0,7.0,42.0,21,8,31,6.4
Romeo Must Die,2000,25000000,55973336,35063424,91036760,R,1 hr 55 min,Action,12.0,4.0,11.0,52.0,13,5,38,7.6
Sinbad: Legend of the Seven Seas,2003,60000000,26483452,54289625,80773077,PG,1 hr 26 min,Adventure,21.0,3.0,9.0,48.0,8,7,31,6.6
Bones,2001,16000000,7316658,1062195,8378853,R,1 hr 36 min,Crime,13.0,4.0,4.0,42.0,4,0,6,7.5
Monkeybone,2001,75000000,5411999,2210366,7622365,PG-13,1 hr 33 min,Animation,11.0,12.0,5.0,40.0,9,3,49,8.7
Spirit: Stallion of the Cimarron,2002,80000000,73280117,49283422,122563539,G,1 hr 23 min,Adventure,8.0,6.0,15.0,52.0,13,4,80,8.2
Hellboy,2004,66000000,59623958,39755027,99378985,PG-13,2 hr 2 min,Action,23.0,19.0,2.0,31.0,101,110,143,5.4
I Dreamed of Africa,2000,50000000,6651522,7748805,14400327,PG-13,1 hr 54 min,Adventure,,,,,,,,
The Lord of the Rings: The Return of the King,2003,94000000,377845905,764373496,1142219401,PG-13,3 hr 21 min,Adventure,1.0,0.0,40.0,94.0,65,127,"2,439",9.1
The Lord of the Rings: The Two Towers,2002,94000000,342551365,608656724,951208089,PG-13,2 hr 59 min,Adventure,1.0,0.0,38.0,87.0,38,55,"1,462",9
Thunderbirds,2004,57000000,6880917,21402720,28283637,PG,1 hr 35 min,Action,12.0,12.0,5.0,36.0,6,7,30,7.7
Antwone Fisher,2002,12500000,21078145,2289441,23367586,PG-13,2 hr,Biography,11.0,2.0,19.0,62.0,6,1,24,8.1
How the Grinch Stole Christmas,2000,123000000,260044825,85096578,345141403,PG,1 hr 44 min,Comedy,10.0,8.0,11.0,46.0,63,21,100,6.6
Gun Shy,2000,14000000,1638202,1646242,3284444,R,1 hr 41 min,Comedy,7.0,8.0,5.0,42.0,1,1,16,8.9
Keeping the Faith,2000,29000000,37047880,22897303,59945183,PG-13,2 hr 8 min,Comedy,9.0,3.0,19.0,60.0,12,4,68,8.6
Nurse Betty,2000,35000000,25170054,4194935,29364989,R,1 hr 50 min,Comedy,11.0,2.0,21.0,69.0,7,99,9,1
Bad Boys II,2003,130000000,138608444,134731112,273339556,R,2 hr 27 min,Action,12.0,13.0,9.0,38.0,235,151,110,4
Gladiator,2000,103000000,187705427,272878533,460583960,R,2 hr 35 min,Action,12.0,1.0,33.0,67.0,45,17,788,8.9
Final Fantasy: The Spirits Within,2001,137000000,32131830,53000000,85131830,PG-13,1 hr 46 min,Action,12.0,6.0,10.0,49.0,27,24,76,6.3
Whipped,2000,3000000,4159986,615023,4775009,R,1 hr 22 min,Comedy,2.0,23.0,1.0,10.0,3,7,14,6.3
Autumn in New York,2000,65000000,37761915,52964753,90726668,PG-13,1 hr 43 min,Drama,4.0,15.0,2.0,24.0,5,5,23,7.6
Scary Movie,2000,19000000,157019771,121000000,278019771,R,1 hr 28 min,Comedy,8.0,8.0,16.0,48.0,68,228,155,3.8
Gossip,2000,24000000,5108820,7482450,12591270,R,1 hr 30 min,Drama,10.0,10.0,1.0,31.0,5,99,9,1.1
The Perfect Storm,2000,140000000,182618434,146100000,328718434,PG-13,2 hr 10 min,Action,15.0,1.0,20.0,59.0,32,13,27,5.9
Moonlight Mile,2002,21000000,6835856,3175194,10011050,PG-13,1 hr 57 min,Drama,,,,,,,,
15 Minutes,2001,60000000,24403552,31956428,56359980,R,2 hr,Action,9.0,15.0,8.0,34.0,18,4,13,6.1
The Adventures of Pluto Nash,2002,100000000,4420080,2683893,7103973,PG-13,1 hr 35 min,Action,0.0,12.0,0.0,12.0,8,23,19,4.9
Hardball,2001,32000000,40222729,3879660,44102389,PG-13,1 hr 46 min,Drama,,,,,,,,
What Planet Are You From?,2000,60000000,6291602,7854075,14145677,R,1 hr 45 min,Comedy,,,,,,,,
Minority Report,2002,102000000,132072926,226300000,358372926,PG-13,2 hr 25 min,Action,3.0,0.0,34.0,80.0,36,57,313,7
Terminator 3: Rise of the Machines,2003,200000000,150371112,283000000,433371112,R,1 hr 49 min,Action,11.0,1.0,29.0,66.0,176,60,447,7.6
Almost Famous,2000,60000000,32534850,14848839,47383689,R,2 hr 2 min,Adventure,1.0,0.0,37.0,90.0,22,78,265,6.8
Boiler Room,2000,7000000,16970581,11809674,28780255,R,2 hr,Crime,12.0,2.0,20.0,63.0,3,69,23,2.3
The Caveman's Valentine,2001,13500000,687194,107287,794481,R,1 hr 45 min,Crime,10.0,8.0,9.0,44.0,1,1,5,6.7
"Me, Myself & Irene",2000,51000000,90570999,58700000,149270999,R,1 hr 56 min,Comedy,14.0,9.0,12.0,49.0,28,8,71,7.3
Mission to Mars,2000,100000000,60883407,50100000,110983407,PG,1 hr 54 min,Adventure,16.0,14.0,6.0,34.0,15,11,30,6.2
Phone Booth,2002,13000000,46566212,51270926,97837138,R,1 hr 21 min,Crime,12.0,4.0,19.0,56.0,30,11,407,9.1
A Knight's Tale,2001,65000000,56569702,60917771,117487473,PG-13,2 hr 12 min,Action,11.0,5.0,20.0,56.0,44,10,86,6.9
Reindeer Games,2000,42000000,23368995,8799975,32168970,R,1 hr 44 min,Action,15.0,13.0,5.0,37.0,5,121,16,1.4
Shanghai Noon,2000,55000000,56937502,42336965,99274467,PG-13,1 hr 50 min,Action,5.0,0.0,25.0,77.0,18,4,171,8.8
Snow Day,2000,13000000,60020107,2444624,62464731,PG,1 hr 29 min,Adventure,6.0,12.0,4.0,34.0,4,3,52,8.8
Wonder Boys,2000,55000000,19393557,14033031,33426588,R,1 hr 47 min,Comedy,8.0,0.0,28.0,73.0,4,1,37,8.1
Battlefield Earth,2000,73000000,21471685,8253978,29725663,PG-13,1 hr 58 min,Action,,,,,,,,
Little Nicky,2000,85000000,39464775,18827520,58292295,PG-13,1 hr 30 min,Comedy,11.0,11.0,7.0,38.0,22,46,66,5.7
Drowning Mona,2000,37000000,15506764,403340,15910104,PG-13,1 hr 36 min,Comedy,7.0,20.0,5.0,25.0,4,1,5,7.1
Frequency,2000,31000000,45010278,23095967,68106245,PG-13,1 hr 58 min,Crime,6.0,1.0,25.0,67.0,8,7,133,8.8
Space Cowboys,2000,65000000,90464773,38419359,128884132,PG-13,2 hr 10 min,Action,4.0,0.0,31.0,73.0,22,4,23,6.2
Sugar & Spice,2001,27000000,13305101,3618660,16923761,PG-13,1 hr 21 min,Comedy,5.0,4.0,8.0,48.0,3,0,17,9
Bounce,2000,35000000,36805288,16620004,53425292,PG-13,1 hr 46 min,Drama,13.0,5.0,13.0,52.0,6,0,28,8.8
Down to You,2000,11000000,20069008,4350906,24419914,PG-13,1 hr 31 min,Comedy,5.0,16.0,0.0,13.0,1,12,14,5.4
Gone in 60 Seconds,2000,90000000,101648571,135553728,237202299,PG-13,1 hr 58 min,Action,,,,,,,,
The Patriot,2000,110000000,113330342,101964000,215294342,R,2 hr 45 min,Action,11.0,1.0,23.0,63.0,28,15,90,6.8
Blade II,2002,54000000,82348319,72661713,155010032,R,1 hr 57 min,Action,7.0,7.0,14.0,52.0,52,9,380,8.7
Price of Glory,2000,18000000,3440228,108328,3548556,PG-13,1 hr 58 min,Drama,,,,,,,,
Just Visiting,2001,35000000,4781539,11395193,16176732,PG-13,1 hr 28 min,Comedy,14.0,8.0,3.0,38.0,2,1,14,8.2
The Whole Nine Yards,2000,41300000,57262492,49109159,106371651,,1 hr 38 min,Comedy,19.0,5.0,8.0,47.0,24,6,153,8.7
"Crouching Tiger, Hidden Dragon",2000,17000000,128078872,85446864,213525736,PG-13,2 hr,Action,0.0,0.0,31.0,93.0,48,52,487,8.1
Dungeons & Dragons,2000,45000000,15391970,18586724,33978694,PG-13,1 hr 47 min,Action,6.0,19.0,0.0,14.0,9,28,23,4.9
Vertical Limit,2000,75000000,69243859,146420000,215663859,PG-13,2 hr 4 min,Action,12.0,6.0,11.0,48.0,11,7,19,6.1
The Fighting Temptations,2003,30000000,30250745,3721317,33972062,PG-13,2 hr 3 min,Comedy,,,,,,,,
The Replacements,2000,50000000,44737059,5317452,50054511,PG-13,1 hr 58 min,Comedy,10.0,17.0,5.0,30.0,10,3,65,8.6
28 Days,2000,43000000,37170488,25028457,62198945,PG-13,1 hr 43 min,Comedy,10.0,7.0,9.0,46.0,17,6,18,6
Get Over It,2001,22000000,11576464,8323902,19900366,PG-13,1 hr 27 min,Comedy,4.0,4.0,6.0,52.0,4,4,26,8.2
Head Over Heels,2001,14000000,10424470,2702552,13127022,PG-13,1 hr 26 min,Comedy,,,,,,,,
The Little Vampire,2000,35000000,13572400,14393465,27965865,PG,1 hr 35 min,Adventure,,,,,,,,
The Skulls,2000,35000000,35046120,15756000,50802120,PG-13,1 hr 46 min,Action,5.0,17.0,2.0,24.0,6,3,12,7.1
Urban Legends: Final Cut,2000,14000000,21468807,17105555,38574362,R,1 hr 37 min,Horror,3.0,21.0,1.0,16.0,9,42,12,2.8
Texas Rangers,2001,38000000,623374,140366,763740,PG-13,1 hr 30 min,Action,,,,,,,,
Saving Grace,2000,10000000,12178602,16562728,28741330,R,1 hr 33 min,Comedy,12.0,1.0,19.0,62.0,1,3,16,7.1
Erin Brockovich,2000,52000000,125595205,130676081,256271286,R,2 hr 11 min,Biography,9.0,1.0,26.0,73.0,16,0,96,8.3
Final Destination,2000,23000000,53331147,59549147,112880294,R,1 hr 38 min,Horror,10.0,14.0,4.0,36.0,59,18,438,8.6
Here on Earth,2000,15000000,10522168,350980,10873148,PG-13,1 hr 36 min,Drama,5.0,17.0,2.0,25.0,2,3,27,8.8
Next Friday,2000,11000000,57328603,2498725,59827328,R,1 hr 38 min,Comedy,6.0,12.0,7.0,41.0,13,6,19,6.2
Small Time Crooks,2000,25000000,17266359,12668118,29934477,PG,1 hr 34 min,Comedy,7.0,0.0,25.0,69.0,11,2,19,6.9
Zoolander,2001,28000000,45172250,15608731,60780981,PG-13,1 hr 30 min,Comedy,11.0,2.0,18.0,61.0,52,32,126,6.4
Where the Heart Is,2000,15000000,33772838,7090880,40863718,PG-13,2 hr,Comedy,8.0,15.0,5.0,30.0,5,7,11,5.8
The Crew,2000,38000000,13023075,82778,13105853,PG-13,1 hr 28 min,Comedy,,,,,,,,
"Monsters, Inc.",2001,115000000,289916256,342400393,632316649,G,1 hr 32 min,Adventure,4.0,0.0,30.0,78.0,24,6,546,8.7
Love & Basketball,2000,20000000,27459615,268503,27728118,PG-13,2 hr 4 min,Drama,4.0,1.0,23.0,70.0,1,7,53,8.2
Red Planet,2000,80000000,17480890,15983079,33463969,PG-13,1 hr 46 min,Action,14.0,11.0,2.0,34.0,17,6,78,8.4
Coyote Ugly,2000,45000000,60786269,53130205,113916474,PG-13,1 hr 40 min,Comedy,9.0,17.0,3.0,27.0,16,12,22,5.8
Whatever It Takes,2000,32000000,8745680,1156435,9902115,PG-13,1 hr 34 min,Comedy,7.0,15.0,0.0,20.0,2,3,7,6.6
Rock Star,2001,57000000,17008282,2325863,19334145,R,1 hr 45 min,Drama,12.0,5.0,15.0,54.0,7,3,10,6.2
The Way of the Gun,2000,8500000,6055661,7145311,13200972,R,1 hr 59 min,Action,9.0,6.0,15.0,49.0,7,56,16,2.2
Moulin Rouge!,2001,50000000,57386607,127541528,184928135,PG-13,2 hr 7 min,Drama,10.0,3.0,22.0,66.0,33,35,375,8.5
Men of Honor,2000,32000000,48818921,33524574,82343495,R,2 hr 9 min,Biography,16.0,2.0,12.0,56.0,9,1,27,7.8
One Night at McCool's,2001,18000000,6290673,7287513,13578186,R,1 hr 33 min,Comedy,,,,,,,,
Boys and Girls,2000,35000000,21799652,4050963,25850615,PG-13,1 hr 34 min,Comedy,9.0,14.0,3.0,29.0,4,17,43,7
Exorcist: The Beginning,2004,80000000,41821986,36288035,78110021,R,1 hr 54 min,Horror,11.0,11.0,0.0,30.0,15,13,14,5
The Watcher,2000,30000000,28946615,18321214,47267829,R,1 hr 37 min,Crime,9.0,19.0,0.0,22.0,5,68,7,1.2
Bring It On,2000,11000000,68379000,22070929,90449929,PG-13,1 hr 38 min,Comedy,14.0,4.0,13.0,52.0,18,40,29,4.1
Dr. T & the Women,2000,23000000,13113041,9731250,22844291,R,2 hr 2 min,Comedy,,,,,,,,
Joy Ride,2001,23000000,21974919,14667919,36642838,R,1 hr 37 min,Mystery,6.0,0.0,25.0,75.0,12,5,123,8.7
Woman on Top,2000,8000000,5020111,5174163,10194274,R,1 hr 32 min,Comedy,13.0,9.0,9.0,41.0,2,2,18,8.5
Children of Men,2006,76000000,35552383,35043081,70595464,R,1 hr 49 min,Drama,1.0,0.0,37.0,84.0,71,112,"1,031",8.4
My First Mister,2001,5250000,568762,26243,595005,R,1 hr 49 min,Comedy,9.0,7.0,11.0,48.0,0,1,9,7.9
What Women Want,2000,70000000,182811707,191300000,374111707,PG-13,2 hr 7 min,Comedy,19.0,4.0,10.0,47.0,20,23,73,6.7
Big Momma's House,2000,30000000,117559438,56400000,173959438,PG-13,1 hr 39 min,Action,7.0,13.0,7.0,33.0,28,8,28,6.5
The Contender,2000,20000000,17872723,4556267,22428990,R,2 hr 6 min,Drama,11.0,3.0,21.0,59.0,8,2,14,6.9
Get Carter,2000,63600000,14967182,4445811,19412993,R,1 hr 42 min,Action,9.0,11.0,0.0,24.0,12,11,17,5.7
Memento,2000,9000000,25544867,14178229,39723096,R,1 hr 53 min,Mystery,3.0,1.0,30.0,80.0,45,33,"1,103",8.9
The Mummy Returns,2001,98000000,202019785,241261119,443280904,PG-13,2 hr 10 min,Action,16.0,5.0,10.0,48.0,74,201,109,3.5
The Wedding Planner,2001,35000000,60400856,34327673,94728529,PG-13,1 hr 43 min,Comedy,14.0,13.0,2.0,33.0,9,21,17,4.5
The Cell,2000,33000000,61334059,42821784,104155843,R,1 hr 47 min,Horror,12.0,12.0,8.0,40.0,27,11,219,8.8
Beautiful,2000,14000000,3157348,12582,3169930,PG-13,1 hr 52 min,Comedy,8.0,19.0,1.0,23.0,0,4,1,2
Center Stage,2000,29000000,17200925,9185016,26385941,PG-13,1 hr 55 min,Drama,15.0,4.0,14.0,52.0,5,19,17,4.7
Remember the Titans,2000,30000000,115654751,21051932,136706683,PG,1 hr 53 min,Biography,10.0,7.0,15.0,48.0,10,2,108,8.6
102 Dalmatians,2000,85000000,66957026,116654745,183611771,,1 hr 40 min,Adventure,5.0,12.0,7.0,35.0,31,16,15,5.1
Jason X,2001,11000000,13121555,3956327,17077882,R,1 hr 31 min,Action,5.0,17.0,1.0,25.0,33,38,75,6.3
Amélie,2001,10000000,33225499,140699243,173924742,R,2 hr 2 min,Comedy,7.0,1.0,23.0,69.0,27,74,348,7.5
Awake,2007,8600000,14377198,18352864,32730062,R,1 hr 24 min,Crime,8.0,8.0,1.0,33.0,22,31,68,6.1
Bait,2000,51000000,15325127,146842,15471969,R,1 hr 59 min,Action,16.0,8.0,4.0,39.0,2,68,6,1
Meet the Parents,2000,55000000,166244045,164200000,330444045,PG-13,1 hr 48 min,Comedy,3.0,0.0,30.0,73.0,33,8,367,8.9
Miss Congeniality,2000,45000000,106807667,105935053,212742720,PG-13,1 hr 49 min,Action,10.0,4.0,6.0,43.0,33,77,63,4.5
2046,2004,12000000,1444588,18025651,19470239,R,2 hr 9 min,Drama,7.0,0.0,27.0,78.0,8,15,78,7.4
A.I. Artificial Intelligence,2001,100000000,78616689,157309863,235926552,PG-13,2 hr 26 min,Drama,8.0,3.0,21.0,65.0,64,62,229,6.7
Hannibal,2001,87000000,165092268,186600000,351692268,R,2 hr 11 min,Crime,17.0,1.0,18.0,57.0,69,16,138,7.2
Pearl Harbor,2001,140000000,198542554,250678391,449220945,PG-13,3 hr 3 min,Action,20.0,6.0,9.0,44.0,69,62,92,5.6
Rugrats in Paris: The Movie,2000,30000000,76507756,26783375,103291131,,1 hr 18 min,Adventure,,,,,,,,
The Ladies Man,2000,24000000,13616610,126602,13743212,,1 hr 24 min,Comedy,6.0,16.0,1.0,22.0,7,12,10,4.7
Road Trip,2000,16000000,68540777,51213501,119754278,R,1 hr 33 min,Comedy,10.0,6.0,16.0,55.0,19,36,38,4.8
Enemy at the Gates,2001,68000000,51401758,45574512,96976270,R,2 hr 11 min,Drama,14.0,5.0,14.0,53.0,18,9,84,7.2
The 6th Day,2000,82000000,34604280,61481197,96085477,PG-13,2 hr 3 min,Action,11.0,5.0,14.0,49.0,24,91,26,2.6
Gangs of New York,2002,100000000,77812000,115960504,193772504,R,2 hr 47 min,Crime,12.0,0.0,27.0,72.0,46,15,263,7.7
Loser,2000,20000000,15618626,2786080,18404706,PG-13,1 hr 38 min,Comedy,10.0,14.0,5.0,35.0,5,13,156,8.8
Ready to Rumble,2000,24000000,12394327,58035,12452362,PG-13,1 hr 47 min,Comedy,6.0,18.0,2.0,23.0,3,9,70,8.7
Unbreakable,2000,75000000,95011339,153106782,248118121,PG-13,1 hr 46 min,Drama,11.0,2.0,18.0,62.0,52,21,478,8.4
Soul Survivors,2001,17000000,3111545,1187596,4299141,PG-13,1 hr 24 min,Horror,2.0,9.0,0.0,20.0,3,14,23,6.2
Best in Show,2000,10000000,18715392,2074164,20789556,PG-13,1 hr 30 min,Comedy,1.0,0.0,32.0,78.0,4,3,40,7.7
Original Sin,2001,42000000,16534221,18868099,35402320,R,1 hr 56 min,Drama,8.0,13.0,3.0,33.0,9,3,34,7.8
The Family Man,2000,60000000,75793305,48951778,124745083,PG-13,2 hr 5 min,Comedy,15.0,5.0,8.0,42.0,16,9,153,8.8
Dracula 2000,2000,54000000,33022767,14030858,47053625,,1 hr 39 min,Action,7.0,7.0,0.0,26.0,9,10,182,8.9
The Kid,2000,65000000,69691949,40625631,110317580,PG,1 hr 44 min,Comedy,18.0,7.0,7.0,45.0,13,4,14,6.3
Lucky Numbers,2000,63000000,10042516,847706,10890222,R,1 hr 45 min,Comedy,13.0,13.0,4.0,31.0,4,21,16,4.5
Bandits,2001,75000000,41575141,26056762,67631903,PG-13,2 hr 3 min,Comedy,12.0,2.0,18.0,60.0,13,4,62,8.3
The Tigger Movie,2000,30000000,45554533,50605267,96159800,,1 hr 17 min,Animation,11.0,0.0,12.0,53.0,2,3,15,6.9
Timecode,2000,5000000,1057750,373656,1431406,R,1 hr 37 min,Drama,10.0,1.0,20.0,65.0,1,28,5,1.4
